genome,domaine,phylum,habitat_binnedfrom,depth_binnedfrom,functional_group,substrate,Rmax,K
73.20110600_S1M.56,Bacteria,Actinobacteria,bog,mid,Aerobic heterotroph,Glucose,0.2584464843824044,21.976718128698742
73.20110600_S2D.37,Bacteria,Actinobacteria,bog,deep,Aerobic heterotroph,Glucose,0.15097767309579493,12.622182835736526
73.20110600_S2D.50,Bacteria,Acidobacteria,bog,deep,Aerobic heterotroph,Glucose,0.13746322922952703,10.848572632506945
73.20110600_S3M.35,Bacteria,Acidobacteria,bog,mid,Aerobic heterotroph,Glucose,0.15792934660924055,11.986127453640059
73.20110700_P1M.4,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.09293378965183537,7.936493287762631
73.20110700_P1M.5,Bacteria,Actinobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.07801488133938432,6.652182743499865
73.20110700_P1M.6,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.07652497218384066,6.51079208048599
73.20110700_P1S.10,Bacteria,Actinobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.2081180143769774,15.699268429981455
73.20110700_P1S.16,Bacteria,Actinobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.15130294848537956,11.655811016943707
73.20110700_P1S.19,Bacteria,Bacteroidetes,palsa,surface,Aerobic heterotroph,Glucose,0.10665021521216222,8.991327086828354
73.20110700_P2D.4,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.11015649758468886,9.334845329426088
73.20110700_P2D.47,Bacteria,Actinobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.21616118785979735,18.155564626521628
73.20110700_P2D.59,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.10362291555621733,8.62781896755403
73.20110700_P2D.6,Bacteria,WPS2,palsa,deep,Aerobic heterotroph,Glucose,0.08743842003977195,7.270811912098048
73.20110700_P2D.63,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.13502934364951302,10.407635636479347
73.20110700_P2D.82,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.29403421330777474,22.020672504842384
73.20110700_P2S.20,Bacteria,Bacteroidetes,palsa,surface,Aerobic heterotroph,Glucose,0.17021551177788924,13.437681582065
73.20110700_P3D.15,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.07564490098472665,5.91429504414636
73.20110700_P3D.28,Bacteria,WPS2,palsa,deep,Aerobic heterotroph,Glucose,0.08013889121812462,6.675908059789529
73.20110700_P3D.3,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.1500265077674122,11.793644620127983
73.20110700_P3D.9,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.11416289473370274,8.644349159753464
73.20110700_P3M.16,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.1255687836727699,9.98270876116606
73.20110700_P3M.8,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.09725648900216062,8.177868133881812
73.20110700_S2D.14,Bacteria,Actinobacteria,bog,deep,Aerobic heterotroph,Glucose,0.1223425643395408,10.281564615961594
73.20110700_S3M.25,Bacteria,Acidobacteria,bog,mid,Aerobic heterotroph,Glucose,0.09198290968164516,7.858023590310753
73.20110700_S3M.38,Bacteria,Acidobacteria,bog,mid,Aerobic heterotroph,Glucose,0.12902559032406227,10.993776657465496
73.20110700_S3M.57,Bacteria,Bacteroidetes,bog,mid,Aerobic heterotroph,Glucose,0.17520846481780034,13.821480805466901
73.20110800_E1D.52,Bacteria,Chloroflexi,fen,deep,Aerobic heterotroph,Glucose,0.06986003661950607,5.806966442192067
73.20110800_E2D.16,Bacteria,Acidobacteria,fen,deep,Aerobic heterotroph,Glucose,0.10528586181761915,8.968068119356923
73.20110800_E2D.40,Bacteria,Acidobacteria,fen,deep,Aerobic heterotroph,Glucose,0.11181687625941784,9.316714792485833
73.20110800_E2D.41,Bacteria,Acidobacteria,fen,deep,Aerobic heterotroph,Glucose,0.12736306901611752,9.832107676848127
73.20110800_E2D.51,Bacteria,Chloroflexi,fen,deep,Aerobic heterotroph,Glucose,0.16254763517165233,13.643270678225493
73.20110800_E2D.56,Bacteria,Chloroflexi,fen,deep,Aerobic heterotroph,Glucose,0.10166280112876769,8.456665643892308
73.20110800_E3D.28,Bacteria,Ignavibacteriae,fen,deep,Aerobic heterotroph,Glucose,0.09214289627724702,7.740176274211559
73.20110800_E3D.64,Bacteria,Ignavibacteriae,fen,deep,Aerobic heterotroph,Glucose,0.11979117516452563,9.964078008005975
73.20110800_E3D.77,Bacteria,Acidobacteria,fen,deep,Aerobic heterotroph,Glucose,0.1779981255935879,14.07182037604228
73.20110800_P1D.22,Bacteria,Gemmatimonadetes,palsa,deep,Aerobic heterotroph,Glucose,0.1553422709097572,13.006404388058588
73.20110800_P1D.25,Bacteria,AD3,palsa,deep,Aerobic heterotroph,Glucose,0.23037460504337723,19.511238233880423
73.20110800_P1D.42,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.0878774175547966,6.936327893703048
73.20110800_P1D.52,Bacteria,Proteobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.1778237532809248,13.369772749033407
73.20110800_P1D.67,Bacteria,Chloroflexi,palsa,deep,Aerobic heterotroph,Glucose,0.11838438175211646,9.852406606462013
73.20110800_P1D.7,Bacteria,WPS2,palsa,deep,Aerobic heterotroph,Glucose,0.08918493056451715,7.4742952424258595
73.20110800_P1D.77,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.1214278765646984,10.256572277963791
73.20110800_P1D.86,Bacteria,Actinobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.14526555507916686,12.169486261013905
73.20110800_P1M.35,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.10002355599765454,8.313328689980063
73.20110800_P1M.44,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.1225333255078507,9.671225782839567
73.20110800_P1M.47,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.0956408074610674,8.0374841572441
73.20110800_P1M.59,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.07440177023374357,6.320090669878548
73.20110800_P1M.6,Bacteria,AD3,palsa,mid,Aerobic heterotroph,Glucose,0.23103269370779322,19.48267163894124
73.20110800_P2D.24,Bacteria,Actinobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.13046354115369724,11.00983575701972
73.20110800_P2D.27,Bacteria,Actinobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.21386689726380365,17.95669216611878
73.20110800_P3M.16,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.15069791808814387,12.65654048156935
73.20110800_P3S.15,Bacteria,Verrucomicrobia,palsa,surface,Aerobic heterotroph,Glucose,0.13059216330098508,9.885595593786462
73.20110800_P3S.22,Bacteria,Acidobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.15105049897998724,11.623331229805762
73.20110800_P3S.4,Bacteria,Actinobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.2436312252121359,19.03862169682993
73.20110800_P3S.9,Bacteria,Acidobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.1200189231372678,9.435274538455605
73.20110800_S1M.45,Bacteria,Acidobacteria,bog,mid,Aerobic heterotroph,Glucose,0.10506141069364414,8.227592043875967
73.20110800_S1M.60,Bacteria,Proteobacteria,bog,mid,Aerobic heterotroph,Glucose,0.10040014862942306,8.394133642280833
73.20110800_S1M.72,Bacteria,Acidobacteria,bog,mid,Aerobic heterotroph,Glucose,0.1064890730057732,8.331437493254981
73.20110800_S1M.73,Bacteria,Acidobacteria,bog,mid,Aerobic heterotroph,Glucose,0.1255959022565164,10.649700702158256
73.20110800_S2D.3,Bacteria,Actinobacteria,bog,deep,Aerobic heterotroph,Glucose,0.21106616061910657,17.72916669705937
73.20110800_S3D.19,Bacteria,Acidobacteria,bog,deep,Aerobic heterotroph,Glucose,0.15310391200180176,12.15549305036856
73.20110800_S3D.42,Bacteria,Acidobacteria,bog,deep,Aerobic heterotroph,Glucose,0.08577427183071504,7.219595138024863
73.20110800_S3D.48,Bacteria,Verrucomicrobia,bog,deep,Aerobic heterotroph,Glucose,0.05636102558660597,4.786146614965683
73.20110800_S3D.58,Bacteria,Acidobacteria,bog,deep,Aerobic heterotroph,Glucose,0.09434460965486743,8.055430508797242
73.20110800_S3D.6,Bacteria,Acidobacteria,bog,deep,Aerobic heterotroph,Glucose,0.09269039353803758,7.860629413725226
73.20110800_S3M.23,Bacteria,Actinobacteria,bog,mid,Aerobic heterotroph,Glucose,0.0780798466251527,6.642727634301933
73.20110800_S3S.12,Bacteria,Acidobacteria,bog,surface,Aerobic heterotroph,Glucose,0.0867306284935353,6.837407101400546
73.20110800_S3S.15,Bacteria,WPS2,bog,surface,Aerobic heterotroph,Glucose,0.0955214822692157,7.964948116757816
73.20110800_S3S.20,Bacteria,Proteobacteria,bog,surface,Aerobic heterotroph,Glucose,0.08295013799899857,6.978932328348289
73.20110800_S3S.32,Bacteria,Proteobacteria,bog,surface,Aerobic heterotroph,Glucose,0.11893674339092276,10.112496346868479
73.20110800_S3S.7,Bacteria,Proteobacteria,bog,surface,Aerobic heterotroph,Glucose,0.11703310149004506,9.932373217352707
73.20110800_S3S.83,Bacteria,Proteobacteria,bog,surface,Aerobic heterotroph,Glucose,0.07097307269070821,5.957215622577015
73.20111000_E3D.16,Bacteria,Acidobacteria,fen,deep,Aerobic heterotroph,Glucose,0.13307664834075836,11.360928451504126
73.20111000_P1D.18,Bacteria,Actinobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.2392614130095434,20.14514658852251
73.20111000_P1D.30,Bacteria,Proteobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.10839026424307356,9.215615435385956
73.20111000_P1M.11,Bacteria,WPS2,palsa,mid,Aerobic heterotroph,Glucose,0.07269430730493437,6.05014651774378
73.20111000_P1M.14,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.14711984487720994,12.287735736750914
73.20111000_P1M.22,Bacteria,Bacteroidetes,palsa,mid,Aerobic heterotroph,Glucose,0.08432931323313293,7.00941912956328
73.20111000_P1M.23,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.10300105892478098,8.773053411590269
73.20111000_P1M.33,Bacteria,WPS2,palsa,mid,Aerobic heterotroph,Glucose,0.11908350031326473,9.904073562672549
73.20111000_P2D.1,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.10750734829213944,9.08512499542375
73.20111000_P2D.24,Bacteria,Actinobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.19150838835228987,16.043023674619445
73.20111000_P2D.25,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.11679923841020177,8.967983080337332
73.20111000_P2D.26,Bacteria,Actinobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.1577772931729802,13.27311432779388
73.20111000_P2D.43,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.1482293512348972,12.634340216431356
73.20111000_P2D.7,Bacteria,Proteobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.10636111711656326,8.901230156183127
73.20111000_P2M.16,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.11997719517619197,10.09488422140737
73.20111000_P2M.18,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.23799488906081334,17.564379721120783
73.20111000_P2S.3,Bacteria,Acidobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.10068731124816767,7.892737189046274
73.20111000_P3D.18,Bacteria,Actinobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.15687113317086263,13.336841376860868
73.20111000_P3D.19,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.205509126426335,15.697521157109847
73.20111000_P3D.24,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.0917218536310035,7.691270563883937
73.20111000_P3D.47,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.07376772680872361,6.2057805063454
73.20111000_P3D.5,Bacteria,Verrucomicrobia,palsa,deep,Aerobic heterotroph,Glucose,0.08850781628484893,7.465953753496181
73.20111000_P3M.104,Bacteria,Actinobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.182824226122765,15.385729769437646
73.20111000_P3M.19,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.08341431427042391,7.108476281908444
73.20111000_P3M.32,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.08900735986673593,7.545338229750572
73.20111000_P3M.39,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.10257365543868038,8.599635735176816
73.20111000_P3M.42,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.0948452746977168,7.881418412363181
73.20111000_P3M.48,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.1642005669378092,13.70888248484192
73.20111000_P3M.58,Bacteria,Nitrospirae,palsa,mid,Aerobic heterotroph,Glucose,0.10350229897612173,8.728651914337599
73.20111000_P3M.68,Bacteria,Actinobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.26702585981770993,23.011050410348922
73.20111000_P3M.76,Bacteria,WPS2,palsa,mid,Aerobic heterotroph,Glucose,0.08362859762499655,7.0191933678268486
73.20111000_P3M.97,Bacteria,Actinobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.35066054202914215,29.900475644713776
73.20111000_P3M.98,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.11998568521664534,10.152185400865088
73.20111000_S1D.29,Bacteria,Proteobacteria,bog,deep,Aerobic heterotroph,Glucose,0.09248737601247552,7.865256874953664
73.20111000_S1D.36,Bacteria,Acidobacteria,bog,deep,Aerobic heterotroph,Glucose,0.10869208362161666,8.537104717776213
73.20111000_S1D.39,Bacteria,Acidobacteria,bog,deep,Aerobic heterotroph,Glucose,0.1091048424315024,9.207563603671769
73.20111000_S2D.31,Bacteria,Actinobacteria,bog,deep,Aerobic heterotroph,Glucose,0.1442744109141251,12.357727152758075
73.20111000_S2S.14,Bacteria,WPS2,bog,surface,Aerobic heterotroph,Glucose,0.08237152734785187,6.980920851064049
73.20111000_S3M.11,Bacteria,Proteobacteria,bog,mid,Aerobic heterotroph,Glucose,0.0915260633669284,7.739652315590559
73.20111000_S3S.15,Bacteria,Proteobacteria,bog,surface,Aerobic heterotroph,Glucose,0.06294298410495991,5.3001812352665665
73.20120500_P13.26,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.15478381148747614,12.314930641407065
73.20120500_P14.1,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.08640978178333397,7.207685733310599
73.20120500_P16.21,Bacteria,Bacteroidetes,palsa,series,Aerobic heterotroph,Glucose,0.06187720847847046,5.196241717458488
73.20120500_P17.2,Bacteria,Actinobacteria,palsa,series,Aerobic heterotroph,Glucose,0.22522093293074005,18.95244464426275
73.20120500_P19.15,Bacteria,Actinobacteria,palsa,series,Aerobic heterotroph,Glucose,0.13687781455197776,11.422005614887802
73.20120500_P19.29,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.19617281648652668,16.54761871979012
73.20120500_P19.4,Bacteria,Actinobacteria,palsa,series,Aerobic heterotroph,Glucose,0.13130347958273972,10.93512331131163
73.20120500_P23.13,Bacteria,Actinobacteria,palsa,series,Aerobic heterotroph,Glucose,0.19477250092434323,16.66576789992498
73.20120500_P24.13,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.09752620027532215,8.310710591092178
73.20120500_P26.1,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.1504706806519404,12.91176347579836
73.20120500_P26.11,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.1278732882731268,10.143987438289319
73.20120500_P26.6,Bacteria,AD3,palsa,series,Aerobic heterotroph,Glucose,0.15594120149326138,13.080582628458258
73.20120500_P27.13,Bacteria,Actinobacteria,palsa,series,Aerobic heterotroph,Glucose,0.07179531400280281,6.03014678623961
73.20120500_P27.30,Bacteria,Actinobacteria,palsa,series,Aerobic heterotroph,Glucose,0.17837130998371534,14.914987108221696
73.20120500_P28.10,Bacteria,Actinobacteria,palsa,series,Aerobic heterotroph,Glucose,0.19761184607368773,16.632937973468966
73.20120500_P28.28,Bacteria,Firmicutes,palsa,series,Aerobic heterotroph,Glucose,0.22090034702069625,18.55504640837949
73.20120500_P28.34,Bacteria,Proteobacteria,palsa,series,Aerobic heterotroph,Glucose,0.10363521437779186,8.739306963752172
73.20120500_P28.8,Bacteria,Proteobacteria,palsa,series,Aerobic heterotroph,Glucose,0.21321336412135125,16.91001775232906
73.20120500_P28.9,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.1089919286696633,8.60303824813864
73.20120500_P31.10,Bacteria,Proteobacteria,palsa,series,Aerobic heterotroph,Glucose,0.1442330850995031,12.179961403630662
73.20120500_P31.5,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.07004766831840559,5.876504767903847
73.20120500_P32.12,Bacteria,Proteobacteria,palsa,series,Aerobic heterotroph,Glucose,0.17010062643168655,14.405700079916674
73.20120500_P32.13,Bacteria,Actinobacteria,palsa,series,Aerobic heterotroph,Glucose,0.07707863295808336,6.463783549633576
73.20120500_P32.15,Bacteria,Proteobacteria,palsa,series,Aerobic heterotroph,Glucose,0.09440529844370843,7.902149038982366
73.20120500_P32.17,Bacteria,AD3,palsa,series,Aerobic heterotroph,Glucose,0.20006888210590396,16.903278540073078
73.20120500_P33.13,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.08850006447328401,7.4201374790093215
73.20120500_P39.11,Bacteria,Acidobacteria,palsa,series,Aerobic heterotroph,Glucose,0.16607021587436493,13.147512896709832
73.20120500_P39.29,Bacteria,Actinobacteria,palsa,series,Aerobic heterotroph,Glucose,0.15387343941613293,13.053632308739092
73.20120600_E1D.105,Bacteria,Actinobacteria,fen,deep,Aerobic heterotroph,Glucose,0.17527106914417673,14.731978843038672
73.20120600_E1D.109,Bacteria,Chloroflexi,fen,deep,Aerobic heterotroph,Glucose,0.13347772251078216,11.121709753001477
73.20120600_E1D.135,Bacteria,Actinobacteria,fen,deep,Aerobic heterotroph,Glucose,0.18240752934722448,15.258795133377633
73.20120600_E1D.138,Bacteria,Actinobacteria,fen,deep,Aerobic heterotroph,Glucose,0.06308503132334899,5.28055137041246
73.20120600_E1D.18,Bacteria,Acidobacteria,fen,deep,Aerobic heterotroph,Glucose,0.1628772065904123,13.696600142782291
73.20120600_E1D.22,Bacteria,Ignavibacteriae,fen,deep,Aerobic heterotroph,Glucose,0.15839315935063075,13.220075724391707
73.20120600_E2D.100,Bacteria,Chloroflexi,fen,deep,Aerobic heterotroph,Glucose,0.1197912254517188,9.963384136690776
73.20120600_E2D.104,Bacteria,Acidobacteria,fen,deep,Aerobic heterotroph,Glucose,0.13452054213075562,10.59319126135198
73.20120600_E2D.118,Bacteria,Actinobacteria,fen,deep,Aerobic heterotroph,Glucose,0.09309471698744674,7.7605389886311595
73.20120600_E2D.155,Bacteria,Proteobacteria,fen,deep,Aerobic heterotroph,Glucose,0.11291267416279388,9.39729742698415
73.20120600_E2D.49,Bacteria,Ignavibacteriae,fen,deep,Aerobic heterotroph,Glucose,0.2601147134912854,22.12283490006081
73.20120600_E2D.52,Bacteria,Ignavibacteriae,fen,deep,Aerobic heterotroph,Glucose,0.1741407708239872,14.734257295115803
73.20120600_E2D.69,Bacteria,Actinobacteria,fen,deep,Aerobic heterotroph,Glucose,0.12141945209094615,10.1815567021023
73.20120600_E3D.145,Bacteria,Proteobacteria,fen,deep,Aerobic heterotroph,Glucose,0.09666559606688167,8.037801722559683
73.20120600_E3D.149,Bacteria,Actinobacteria,fen,deep,Aerobic heterotroph,Glucose,0.166234670480505,13.952825543092542
73.20120600_E3D.25,Bacteria,Chloroflexi,fen,deep,Aerobic heterotroph,Glucose,0.11683932856083762,9.749785428432023
73.20120600_E3D.26,Bacteria,Chloroflexi,fen,deep,Aerobic heterotroph,Glucose,0.0841527062807183,6.991350532681666
73.20120600_E3D.60,Bacteria,Proteobacteria,fen,deep,Aerobic heterotroph,Glucose,0.06718371871291587,5.605732072039921
73.20120600_E3D.84,Bacteria,Proteobacteria,fen,deep,Aerobic heterotroph,Glucose,0.10192279643424978,8.514985318788403
73.20120600_E3D.99,Bacteria,Chloroflexi,fen,deep,Aerobic heterotroph,Glucose,0.056534593959403426,4.707256117510656
73.20120600_P2M.24,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.0815523310692798,6.93846444902284
73.20120600_P2M.43,Bacteria,Actinobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.11245762792930859,9.518733644943223
73.20120600_P2M.6,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.13221912187114532,11.320326667849818
73.20120600_P3M.2,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.09364272647960317,7.877397576848758
73.20120600_P3S.7,Bacteria,Actinobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.07990732809287324,6.715969693847236
73.20120600_S3D.22,Bacteria,Proteobacteria,bog,deep,Aerobic heterotroph,Glucose,0.13483239732045924,11.42021364701698
73.20120600_S3M.9,Bacteria,Acidobacteria,bog,mid,Aerobic heterotroph,Glucose,0.08938965638772911,7.535196033566689
73.20120700_E1D.21,Bacteria,Acidobacteria,fen,deep,Aerobic heterotroph,Glucose,0.19107256252281787,16.295382911690158
73.20120700_E1X.16,Bacteria,Gemmatimonadetes,fen,extradeep,Aerobic heterotroph,Glucose,0.15126600611288785,12.744883617343913
73.20120700_E2X.198,Bacteria,Ignavibacteriae,fen,extradeep,Aerobic heterotroph,Glucose,0.09588010047359229,8.114431245642631
73.20120700_E2X.256,Bacteria,Proteobacteria,fen,extradeep,Aerobic heterotroph,Glucose,0.07172478794686007,5.96283474828528
73.20120700_E2X.266,Bacteria,Ignavibacteriae,fen,extradeep,Aerobic heterotroph,Glucose,0.16555419885098024,13.94419148418184
73.20120700_E2X.73,Bacteria,Ignavibacteriae,fen,extradeep,Aerobic heterotroph,Glucose,0.13260161158451023,11.098765777450888
73.20120700_E3M.140,Bacteria,Proteobacteria,fen,mid,Aerobic heterotroph,Glucose,0.06388655943872983,5.359423949312442
73.20120700_E3M.188,Bacteria,Proteobacteria,fen,mid,Aerobic heterotroph,Glucose,0.1892607645038921,15.85603499850461
73.20120700_E3M.207,Bacteria,Chloroflexi,fen,mid,Aerobic heterotroph,Glucose,0.22442385071758508,17.12726882359416
73.20120700_E3M.214,Bacteria,Proteobacteria,fen,mid,Aerobic heterotroph,Glucose,0.1539204251212211,12.128866003350161
73.20120700_E3M.239,Bacteria,Proteobacteria,fen,mid,Aerobic heterotroph,Glucose,0.06530274158179453,5.5403572133850965
73.20120700_E3M.30,Bacteria,Verrucomicrobia,fen,mid,Aerobic heterotroph,Glucose,0.1368835498146852,11.522885752564292
73.20120700_E3M.37,Bacteria,Chloroflexi,fen,mid,Aerobic heterotroph,Glucose,0.08706136837609087,7.235979786236177
73.20120700_E3M.58,Bacteria,Planctomycetes,fen,mid,Aerobic heterotroph,Glucose,0.09040471370067998,7.665929306728663
73.20120700_E3M.60,Bacteria,Actinobacteria,fen,mid,Aerobic heterotroph,Glucose,0.12716390538384634,10.649465914047946
73.20120700_E3M.80,Bacteria,Ignavibacteriae,fen,mid,Aerobic heterotroph,Glucose,0.15212205829757142,12.81460681640515
73.20120700_P1D.1,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.10053831766252538,8.496692417604361
73.20120700_P2D.11,Bacteria,Acidobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.09218956333649429,7.87117721974171
73.20120700_P2D.31,Bacteria,Proteobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.1550632014792892,13.192651311931739
73.20120700_P2D.6,Bacteria,Proteobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.09142848331957787,7.750339425288635
73.20120700_P2D.7,Bacteria,Gemmatimonadetes,palsa,deep,Aerobic heterotroph,Glucose,0.1060883690128321,8.940296834642353
73.20120700_P2M.12,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.07179856801352189,6.0463422384536045
73.20120700_P2S.1,Bacteria,Acidobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.08830170009425076,7.350664540612087
